"text","hate"
"Sabi ng driver ""yan na nga ba ang sinasabi ko eh, kanina nung nakita ko kayong may bata parang ayaw ko kayong pasakayin, buong araw sa byahe ko ngayon wala akong sinakay na bata"" hanggang sa paulit ulit nya yun na sinabi kahit wala naman kaming imik kaya kumuha nalang kmi ng plastic bag masalo lang yung suka ng bata.",0
"@MaeMaeGONZALES_ may vote buying na nga si Binay eh",1
"Kuha ang kabuo – ang pangyayari sa isang maikling camera na nakakabit sa helmet ng naturang motorista.",0
"Pinuri din ni Pastor Quiboloy ang karibal na programa ng noontime show ni Vice Ganda.",0
"RT @chankidskids: Every time i hear ""Nognog Binay"" campaign ads, my automatic reaction is: BOBA. UTAK BIYA. WALANG UTAK.",1
"In the end, we all concluded that we hate Binay",1
"#Duterte: #Roxas most incompetent Filipino to run for president https://t.co/3eWCw5FfRA @MARoxas @RRD_Davao https://t.co/0VdOikhD63",1
"Source: Youtube",0
"Composite photos from Philippine Flight Network and Media Newser Philippines Bagama't maganda ang gising ng batikan na news anchor na si Erwin Tulfo, PANGIT naman ang bumungad sa kanya pagdating ng Ninoy Aquino International Airport (NAIA 3) matapos itong mag – check – in sa kanyang flight.",0
"Ang weird ng panaginip ko nung nakatulog ulet ako kanina amputa nasama pa si binay HAHAHAHAHAHA",1
"Either Poe or Roxas I really don't mind, basta wag si Duterte please. So many years of progress and we'll trade it in for backwardness?",1
"Wag maging BOBOtante
#Election2016 
#VoteWisely 
#POE2016",1
"Yung ad. ni mar at binay jusko nakakaasar.",1
"Nandyan na kapag full acad ako ay sobrang laki ng aking natitipid, uuwi na may dalang bigas o di kaya ay groceries.",0
"May mahihirap pa rin sa Makati. May mahihirap sa lahat ng panig. #Binay #Halalan2016 https://t.co/cVLb2lgqvE",0
"Isang numero (mula 0 hanggang 9) kada isang column.",0
"Saad pa nya, ang protective shield ay dapat lagpas ulo ng dalawang magka-angkas na couple at kailangan pa din umano nilang magsuot ng face mask at helmet.",0
"Banat pa ni Trillanes, ang iba daw ay walang ""choice"" dahil walang bahay.",0
"Kanina pangalawa si grace poe. Ngayon si mar roxas na haha tsk tsk????",1
"Pero sana naman ay maging matatag ang isa't isa lalo na kung may sinumpaan kayo na magiging tapat at magmamahalan ng walang alinlangan.",0
"Hindi raw kailangan ni Mar Roxas ang boto ng OFW. Endosohin ba naman ni Daniel Padilla? Aba, boto pala ng Kathniel ang target. #PSYPagyanig",1
"Kapag nanalo isa kila Mar, Poe, Binay or Duterte, sure na may mangyayaring gulo after..

KAYA MAG MIRIAM NA LANG KAYO. Sure no problem ??????",1
"Manalo lang talaga si binay or poe tangina goodbye philippines ????",1
"Pakyu ka tlga Mar Roxas. Kumukulo dugo ko sayo!!
PAKYU FOREVER! https://t.co/prs3oul8IZ",1
"If mar roxas wins alam na this!  #HalalanResults",1
"HINDI AKO PUMILA NG NAPAKAHABA SA POLLING PRECINCT PARA MANALO YANG HINAYUPAK NA MAR ROXAS NA MADAYA NA YAN. #Election2016 #DayaangDILAW",1
"Bakit kung sino pa nognog sya pa ang nagbigay ng liwanag? ????
Tang ina LSS na ko dito binay ??
Dati kay villar eh??",1
"Kasing laki daw ito ng terminal 3 ng Ninoy Aquino Internatonal Airport (NAIA).",0
"From 1 - Binay's ""Yes, of course!""

Gaano ka ka-annoying?

#PiliPinasDebates2016",1
"Don't Vote for Binay  #NogNogHambog",1
"What a desperate move Mar Roxas?! Fight like a man! Tss. ?? #AyawSaDILAW",1
"Quing ina nito ni Mar Roxas eh daming alaaaaaam",1
"Kaya sa Mandaluyong daw sila Honey nag-kick off, kasi baliw lang ang mga boboto sa Team #BINGO Grabe naman! #Binay2016",1
"Bakit ba si Binay, lagi nya sinasabi nung mayor sya ""sa Makati..sa Makati"" .. bakit wala syang maipagmalaki bilang bise presidente? Ano na",0
"Sige lang siya human rights-human rights.",0
"WAG POE sanang pakalat kalat mga dutertards sa social media kung jejemon kayong mag-type. Bwahawhawhawhawhawhawhaw https://t.co/O7pPdkalGP",1
"""Walang katiyakan na lalaya na siya... Alam mo naman ang mga tao mahilig gawin ang ganyang (tsismis) kasi para form of entertainment iyan sa Pilipinas na mag-create ng controversies... Mayroon na diyang politically motivated.",1
"Kapag nanalo si Pacquiao, Binay, Tito Sotto, Alma Moreno, Colmenares, Marcos or Chiz ehhh wala lang.... pakamatay na lang tayong lahat. LOL",1
"‘Noong ECQ po, nasa bahay lag po kami.",0
"RT @sizzlingbubbles: Bigyan ng award si Binay - Denial King! Spending King! Corruption King! https://t.co/BuaEfo95Qb",1
"WAG NIYO MAKUMPARA KUMPARA SI NANCY BINAY KAY ALMA HA! SI NANCY, NEGRA SI ALMA, MORENO! ENEBENEMYERN",1
"Heavily tinted yung car niya so di ko mapansin if may kasama siya or wala.",0
"Leni Robredo' life sa MMK ? Sana pati yung kay Mar Roxas nung nagta-traffic na lalong nagkabuhol-buhol traffic. #ABSCBNZEROINTEGRITY",1
"""Kaya naman dapat rin nating alagaan at huwag pabayaan ang ating mga magulang lalo na kapag sila ay nagka edad o tumanda na.Samantala, isang ama ang umantig sa puso ng mga netizens dahil namamalimos na lamang ito sa kalsada upang may makain matapos umanong abandonahin ng mga anak.Sa video ng vlogger na si Denso Tambyahero, makikita si tatay Eddie Gabriel na nakaupo sa gilid ng kalsada habang namamalimos.Sinubukan ni Denso na yayain si tatay Eddie na kumain sa Chowking ngunit tumanggi ito at sinabing pagkain lang daw iyon ng mayayaman.Kwento ng matanda, nagluluto siya ng lugaw sa umaga at iyon narin ang kanyang magiging pagkain hanggang hapon.Naitanong din ng vlogger kung sino ang kasama ni tatay Eddie.",0
"Disgusted by the sponsored content I'm seeing on Fb against Grace Poe. Really? Debate her on issues, not propaganda!",1
"Wag na natin paabutin sa buong bansa ang katarantaduhang ginagawa ng mga Binay sa Makati! #NogNogHambog",1
"Inis na ako dumagdag pa tong si Mar Roxas ehh..",1
"* Screencap photos from TikTok Gaya na lamang ng isang video ng estudyateng ito kamakailan lamang, kung saan habang nagvi video gamit ang app na tiktok, hawak hawak nito ang kanyang modules at sinasabi nito sa kanyang video ng mga tips umano para mabilis matapos ang kanilang mga modules, maya maya pa ay sinunog na niya ang hawak na mga aralin sa kanilang klase.",0
"Jusko po Lord bigyan nyo po ng common sense si Mar Roxas. https://t.co/Qkkh2kqhRk",1
"Ngayon naman ginagamit nya ang COA reports against Roxas. Sige ba mr binay, papublic audit kayo, SABAY, kaya mo? https://t.co/T1Q9nNCiKg",0
"""'Yung 4Ps ay ititigil daw ni Jojo Binay kapag naging pangulo. Kasinungalingan po 'yan, 'wag po kayong maniwala d'yan. #OnlyBinayPriority4Ps",0
"Kay Binay, hayahay ang buhay....ANO? TUMAHIMIK KA! https://t.co/ijMX7CtnpN",1
"Luis: Boboto ko si Miriam. Ikaw?
Me: Si Binay. Nakikita kasi kita sakanya.
L: Ano corrupt?
M: Sa itsura. HAHAHAHA",1
"Ugh. Binay. Stop. #PiliPinasDebates2016",1
"Nakakashit kanina. Traffic na sobrang init pa. Kasalanan talaga to ni Binay. ????",1
"Sumasakit ulo ko sa advertisement ni Binay. ??????",1
"ABS CBN network obviously supports Mar Roxas. All of the news/reports you've see about him are all positive. WHY?! Bias na po ??",1
"BADTRIP KABDAY KO KASI SI BINAY E",1
"pinainit na naman ni Binay ulo ko. sa Jollibee, nagkakamay? Possible pero too good to be true. OA. Publicity. Wag kami.",1
"Isa lang talaga.",0
"Sana kasama c binay! #NoToBinay!!! https://t.co/vTiEKU9k2a",1
"Point Binay on Health Issues. Boooo!! #Roxas #DuterteForPresident",1
"– A. Asaytuno Npakawalang hiya tlaga ang pilipino oh akalain m naisipan pang ilagay sa karo para lang sna mkalusot..mabuti nlang alerto ang ating mga kapulisan..congratz mga sir – V. Aging Ang tawag Jan sa mga ganyan gahaman.",0
"@Pcy_JohnEbol13 Mga nasilaw sa perang bayad ni Roxas.
VOTED BINAY PLS COUNT
#OnlyB1NAYPresidente  #Halalan2016",1
"Nanonood ako.Biglang may lumitaw na virus.Imposible namang magka-virus ang TV namin. Di naman to computer. Commercial lang pala ni Binay yun",1
"~ WAG NYO IBOTO SI MAR ROXAS -_-",1
"Nas-stress ako sa sagot ni Mar Roxas about laglag bala gang! Nakaka init ng ulo! Wag syang mag expect na mananalo sya please!",1
"""Sya po yung tumulong sa mag-ama na nagugutom, may nakita syang namamalimos sa labas ng Jollibee, yung iba umiiwas, yung iba naman pinagtatabuyan sila dahil sa itsura nila, gutom na gutom daw po itong mag-ama dahil malayo pa ang pinanggalingan nila naglakad lang sila dahil walang pamasahe"" ayon kay Alexiefe.",0
"Grabe ka na, Binay! #AyokoSaTrapo",1
"Larawan mula kay Lei Xsé | FacebookSa Facebook post ni Lei Xsé, ibinahagi niya ang ginawang pagtulong ng kaniyang grupo sa pamamagitan ng pagpapakain sa mga pusang nakatira dito.Ayon kay Lei, hindi lang mga pusa kundi mga ligaw na aso rin ang naninirahan sa islang ito.",0
"Hay, Binay.. Ayaw sayo kasi, Makati lang bukambibig mo. Baka nakakalimutan mong VP ka ng bansa at hindi na Mayor. #PiliPinasDebates2016",1
"Nakakabwisit commercial ni Mar Roxas! Mas nagmumukha syang paawa!",1
"Every time Binay's commercials show on TV I mute dem or change channel coz I can't stomach them. So self serving &amp; pretentious
#NogNogHambog",1
"Pandagdag ko lang din sana.",0
"Larawan mula sa world of buzzAng kasal ay isa sa pinaka itinuturing na sagrado sa pagitan ng magka-relasyon na babae at lalaki, kung kaya naman kailangan itong pag-isipan ng ilang beses bago magdesisyong tuluyang magpakasal sa kapareha.",0
"@kenteresting SOBRANG DAMING LIBRE TAPOS AALISIN PA NIYA TAX NG 30k below. STFU ?????? don't us binay pls",1
"RT @TSEeekenWING: binay=optimism goals for finals ?? https://t.co/RQEV5OzW1L",0
"Photo courtesy of Facebook @Naz AreneSino ang mag-aakala na ang isang simpleng empleyado sa isang mall ay makakapagpatayo ng kanyang sariling bahay na yari sa konkreto at may tatlong kwarto?Ito ang nakaka-inspire na kwento ng isang empleyadong si Naz Arene, 26-anyos na netizen mula Nueva Ecija, na dahil sa kanyang sipag at tiyag ay nakamit nya ang kanyang dreamhouse.",0
"""Yan ang review.",0
"Puro Miriam, Duterte at Mar. Wala pa kong nakikitang Binay at Poe. Sad.",0
"Thank you for confirming who you truly are, Mr. President: violent and cruel towards the poor, foul-mouthed and obscene to women and democracy advocates, but feckless and spineless before Chine.",1
"binay: nognog, pandak, laki sa hirap
me: kulot, pimples, laki tyan",1
"huge disappointment to mar roxas i swear, he keeps on dragging duterte down. mar, do you really think it would make your name aromatic? ??",1
"nagising ako at arealise ko na SLEEP PARALYSIS yun.",0
"Omg ang scary nung video na sumasayaw si Binay WTF",1
"Sobrang antok na ako. Pero ayokong matulog, baka kasi paggising ko bukas lamang na si Mar Roxas. ??????",1
"It's not hard to determine which of the two has been helping in the response to the crisis we are facing now...",0
"So taas-kilay ang bata dahil alam niyang kakampihan at kakampihan siya ng nanay niya.",0
"Pero naiiba ang kwento ng isang pinay na nagawang maabot ang kanyang pangarap sa kabila ng hindi ganoon katalas na kaalaman pagdating sa mga numero.",0
"Tama tlga si bato, hindi pwdeng pacute cute sa gyera kontra droga,"" sabi ni C. Truvativ.",0
"Ang mayaman pag tumulong sa kapwa, mabuti yun.",0
"Source: Raffy Tulfo in Action",0
"ako lang ba yung bwisit n bwisit kapag nakikita mga ads ni Mar Roxas sa TV? Lalo na yung linya nya na

""Hindi ako magnanakaw""

 #AyawSaDILAW",1
"RT @mikokokranch: Quotang quota na sa pity to appeal itong si Binay using the term ""Nognog"" to describe himself.",1
"""The helicopters arrived Tuesday morning and will be reassembled to put rotors and launchers.",0
"Ang masaklap sa nangyari, habang naghihintay ng pagkain ang mga magkikilos-protesta ay biglang umulan.",0
"If I had not been the SolGen, I would have called [Coco Martin's] bluff anf make him eat his words,"" buwelta ni Calida.",0
"Terrorists or their supporters are the only ones who will be afraid of the bill,"" banat ni Sotto.",0
"Bukod sa Carbon Dioxide Laser, may ilan ring home remedy na maaring gamitin upang pangtanggal nito.",0
"Source: KAMI",0
"Yung Ad ni Binay. Haha. ??

NOGNOG ...
Nilait na yung sarili. ????",1
"Mar Roxas pa more!!!",1
"Ikaw na lang umatras Roxas, tanggap ko pa manalo si Poe kesa sa iyo pero Duterte pa rin. #AyawSaDILAW",1
"Duterte on copying plans of Poe, Santiago wala talagang originality  #PiliPinasDebates2016 Kay ROXAS Kami",1
"Kapag ang gumawa ng krimen ay 15 pababa, walang kaso, walang kulong.",0
"Kada commercial nalang naririnig ko pandak, nognog! Leche binay! Kairita na.",1
"""Ano bang mga ginagawa nila, na dapat ko ding gawin?",0
"Pumunta kami sa k'warto ko at sinaboy ni mama ang asin sa buong k'warto at pinatong sa bintana ang shotglass na may asin habang ako naman ay nanginginig at tuloy parin ang pag iyak sa sobrang takot.",0
"While grabbing their free taho, the smile on their faces were priceless,"" Dahil sa marami ang natuwa sa ginawang ito ng Project Starfish, ang ating bidang magtataho ay hindi na rin napigilan ang kanyang sarili.Nagdagdag na rin ito ng ilan pang mga baso ng kanyang paninda upang makapagbigay ng kaniyang pagsuporta sa mga nag-organisa ng naturang proyekto.Project Starfish | FacebookProject Starfish | Facebook""And because of that, few more people chipped in to add more cups on the table, even the taho vendor himself,"" dagdag pa nito.Mabilis mang naubos ang mga taho na ipinamahagi nito, isa lang ang napatunayan ng lahat sa tagpong ito.Na hindi nasusukat sa estado ng buhay at walang anuman ang maaring humadlang, para makipagbigay ng tulong sa nangangailangan.Project Starfish | FacebookTahoSource: Project Starfish | Facebook",0
"Ang coconut oil o virgin coconut oil ay mayaman sa vitamin E na mahalaga para mapanatiling fresh ang mga balat natin.",0
"Si Roxas naman napaka-init ng dugo kay Duterte ?? pati si Cayetano sinabihan ng manahimik daw! ?? bruhh napaghahalataang desperado manalo ah ??",1
"New middle finger emoji just in time for upcoming election. ???????????????????????????? 

Para kay Binay yung huli.",1
"Pero let's go straight to the truth.",0
"Pinagpatuloy pa ni Abe ang kanyang banat kay Vice Ganda.",0
"Maitim ang iyong balak binay nog nog. Hahahhaha ????????????????????? #7thbananaversary",1
"Kaya naman po noong nakaraang taon ay sinimulan natin ang pakikipagtulungan sa gobyerno ng Japan upang maisagawa na ang malawakang rehabilitasyon at maintenance ng buong sistema ng MRT-3.",0
"BOBO-to nito parin ba si Mar Roxas?",1
"VP Binay ads: all drama. all ""paawa"". Binay is painting a picture of being bullied, comparing himself to farmers, OFWs, etc. #politicsph",1
"I cannot trust her not bec — not only because — not only ha — so ‘pag nag — not only because she is with the opposition.",0
"Pag-aaralan ng mga awtoridad kung kailangan itong dalhin sa Quezon City Social Services Development Department.",0
"Kahit isang araw lang! Wag sana icommercial advertisement kay Binay! ??????????",1
"Si Mar Roxas nalang ang di pa bumibisita sa UPLB at mukhang wala na siyang balak pa.",0
"Pinuntuhan pa kita dito ng gabi at pinagtanong pa kita dito, binigyan kita ng gatas na hinihingi mo, dipaer at sinamahan ko pa ng isang relief goods.",0
"""Di ko alam mararamdaman ko muang inisip pa ng bata na to sasabihin ko kasi nabasa module nya,"" dagdag pa ng guro.",0
"Go to ""Settings""Step 2.",0
"My friend made these keychains possible for me.",0
"Malulungkot din daw siya kung sakaling hindi magiging tagumpay ang pamumuno ni Robredo sa anti-drug campaign ng gobyerno.",0
"Minsan pa nga, si titser pa bumibili ng plastic envelope o plastic jacket para sa card nang hindi masalaula ito.",0
"Ulol binay, bye.",1
"Idol ata ni Alma Moreno si Binay. Gustong nagigisa sa sariling mantika.",1
"VP Binay says he did not influence his daughter Sen Nancy's SET vote vs Poe; ""Napag-usapan (namin). Pero desisyon niya po 'yun"" | @jv_arcena",0
"""Anyway, wala na akong planong makipagdiskusyon sa ayaw naman makinig.",0
"Parang gusto kong kainin si Mar Roxas at Trillanes ba!!!",1
"Binay doesn't want to debate, Poe's late. Surprises at PCCI presidential 'debate' via @rapplerdotcom https://t.co/HyipXTLHtI
#PHvote",0
"Pilipinas, pinaka-corrupt na bansa.. paano kase alam na nilang corrupt si binay iboboto pa nila?? Mga bobo tlaga!... https://t.co/Z8X7t5aRZf",1
"Enrique Gil Larawan mula sa Youtube Larawan mula sa Youtube Si Enrique Gil naman ay mayroong Camaro na nasa $37,900 hanggang $61,140.",0
"Ang nasabing kanta ay may pamagat na ""Reklamo"" at pinatutungkulan ang mga reklamador nating kababayan at mga kritiko ni Pangulong Rodrigo Roa Duterte.",0
"sobrang corny, wala talaga si mar roxas at si binay sa mga choices ko for presidency.",1
"Binay's camp insisted that those were part of the 'black propaganda' against him. So, it was his, then? I mean.. lol. ??",1
"Grabe kayo kung bastusin si VP Binay. Kung ayaw niyo sa kanya wag kayong mambastos. Mga walang pinag aralan.",1
"Cruz-Angeles.",0
"Ano daw first name ni binay. Edi ONLY. Only binay ????
#OnlyBinay",0
"What? Binay I have never heard you answer your corruption issue. Paulit ulit kang tinatanong, never mo sinagot.",1
"ayon kay Anna.Pagbabahagi ni Anna, nilalagyan niya ng dalawa hanggang tatlong kutsara ng suka ang tubig na kanyang pagbabanlawan at napatunayan nitong mas lalong lumalambot at bumabango ang kanyang labahan na nalagyan ng suka.",0
"""May dahilan lahat ng pagsubok natin sa buhay, manalig lang at magtiwala sa kanya.",0
"Mar Roxas on May 9: ""Hocus PCOS""",1
"Sa kanyang Facebook post, inilahad niya ang buong pangyayari at nagbigay babala sa publiko na maging aware sa panibagong modus na ito.",0
"sabi ng ina ni Lou.",0
"Maraming netizens ang naawa at nagreact sa ginawa ng mga abusadong barangay officials sa kaawa-awang matanda.",0
"Marami na ding mga dancers ang sumubok sa makabagong pagkakakitaan.",0
"Our country's President MUST: 1. have integrity. Binay fail. 2. love our country. Poe fail. 3. respect the law. Duterte fail. #GoMarRoxas!",1
"Aldub is for real!! Pakyu binay! ???? #ALDubEBTamangPahahon",1
"My GRADES are DARKER than Binay's skin, UNCLEAR like Poe's citizenship, FUNNIER than Roxas' stupidity, &amp; HOPELESS like Duterte's candidacy..",1
"I dont Binay. I hit him re-corruption issues/lies he's been peddling.But never ko siya minura, sinabihan ng babatukan/sasaktan. #DiAkoBastos",1
"Bakit parang ako ang kinakabahan para kay Duterte? haha! PH Vote Duterte! Jeskelerd, ikaw na bahala kay Mar Roxas at sa LP. Hihi",1
"Yung mga No To Binay diyan, pag yan nanalo, ewan ko na lang! Baka mangitim kayo. Magiging nognog kayo! #NognogHambog",1
"Whoever wins, wins, JUST DONT CHEAT. If it's true that you love this country, JUST DONT CHEAT!!!!?????? #PHVote #PHVoteRoxas #PHVoteDuterte",1
"Dahil daw kasi sa taping ay hindi na nila nakakapiling ang pamilya para lang makagawa daw ng palabas na mapapanood ng mga tao.",0
"Sorry binay pero di ko pa din gets kung ano kinalaman ng pagiging nognog mo sa pagiging presidente ng pilipinas.",1
"Salamat daw sa concern, wala rin daw akong alam, may alzheimers daw si lola.. My 2 cents:All the while andun ako for an hour.",0
"Nognog
Pandak

Binay ano pang sunod?!
Aba HINDI ka kaBoto-boto ha!
Sa totoo lng you promote
inferiority.

RESPETO naman Oh!",1
"Di kasi lahat ng babae ang hanap eh lalaki na mayaman, may kotse (di kami parking lot lol), at lalong di lahat ng babae nakaasa lang sa partner nila.",0
"On a scale of 1 to Mar Roxas, gaano ka kaepal?",1
"Wtf benta kay binay ahahhahahahahahahahahaha https://t.co/7hb1X5tBqT",1
"Mukang kokey talaga si Binay. Tangina! Hahaha",1
"* Dahil dito, marami sa kanila ang umaasa na lang sa ayuda ng gobyerno at mula sa ibang tao na kusang loob na nag-aabot ng kaunting tulong sa kanila.",0
"Sa mga nognog, nognog din ang tutulong sainyo. Wtf Binay",1
"@joeyserreon @NicoleSamson8 shut up binay. Hahaha chat mo ko",1
"Pero ilang araw lang ang nakalipas matapos maglabas ng kautusan ang NTC ay nabigla ang mga ito dahil sa pag-apruba ng kongreso sa provisional franchise na ibinigay sa istasyon na tatagal hanggang Oktubre 2020.",0
"Nakakainis ang Ad ni Binay. Makati pa rin banner n'ya, 6 years s'ya nakaupo bilang VP, bakit 'di umunlad ibang cities like Makati?",1
"TENGENENG MAR ROXAS TO ABUSADO SA PATALASTAS HAHA",1
"Sino naman may gusto ma replicate pa si Binay? Siya pa lang nga bilyones na nawala sa bayan. https://t.co/oTEzkg6E0M",1
"""Desperate times calls for desperate measures"" ang theme ni Mar Roxas karong eleksyon",1
"Hindi nakukuha ang Bell's Palsy sa milktea, fastfood, at pagtulog na basa ang buhok!!!!",0
"Halos ang buong bansa ay apektado ng krisis na dulot ng pandemyang COVID 19.",0
"Scenario et deux:

Grace: never have I ever used the weakness of the downtroddens for boodle fights to gain votes
Binay: das me *drinks up*",1
"May katandaan na din ang nasabing banyaga, at kahit anumang bagay ay wala itong dala dala, ni pamalit ng damit ay wala man lang syang naitabi.",0
"I want my son to value time and deadlines.",0
"Tss! Si Mar Roxas mandurugas ba! Hahay. Ginoo na bahala nimo Mar! ??????? https://t.co/Ty2pyALPE6",1
"Cheap ! Mar roxas ???????? https://t.co/Tjx9xvRHil",1
"""I will not anymore (push for emergency power) because the President (Duterte) said that he doesn't want it anymore and you can not attack a crisis with emergency powers when you are in a middle of it already,"" sabi ni Cayetano.",0
"Naki usap at nagmamaka awa ako sa kanila na sana ay puntahan nila ang Doctor na para ma eksamin at mabigyan ng lunas ang karamdaman ng anak ko pero ang sabi sa akin na nasa Quarter House pa ang Doctor at tulog pa ito at alas 8:00 ng umaga pa ito magro-roaving.",0
"Salute!",0
"Itong si noli de castro ok yang punto mo pero sobrang bias mo! Nung ikaw vice president may nagawa kaba!?  Puro ka sisi maka binay ka ata!",1
"My mum doesn't like kathniel anymore coz of that Mar Roxas! Curse you mar!",1
"Ani pa nya, huwag din nating hayaang napupunta lang sa mga luho ang perang pinaghihirapan.",0
"Lalo umano itong nakakapagod dahil buntis pa ang kanyang asawa ng mga panahong iyon.",0
"Photo by Peachy Bonifacio Santos Tinupad mo mga yung mga bucket list natin sa buhay at ako na muna magtutuloy nun ha.",0
"“It is more fitting for a man to laugh at life than to lament over it.”

Ang Pagbabalik Binay In Makati
 #OnlyBinayInMakatiSanKaPa",0
"Talagang mas pinili nila si ROXAS at BINAY over MDS. WTF!!! ?????? #Election2016",1
"Etong si Binay nakakatuwa talaga ?? Pag sa debate di makasagot kay Duterte pero pag wala na sa debate, ang lakas makahamon ng away. FUNNY ??",1
"Kilegs kilegs ganern.",0
"Ayoko pa sabihin sa sarili ko na si mayor duterte na magiging presidente kasi dadayain yan nila roxas saka ni pnoy na mukhang minion??",1
"Mar Roxas you are the weakest leader!!!! Bayot ka! Bwisit! Madaog ghapon c tatay digong maskin unsa pa imong himuon! Dayaon kaau ka!!!",1
"Binay's nognog-pandak ad ????",1
"@basha_____ si mar roxas may pakana nyan.",0
