ID,ENG,FIL,polarity
143,alarmed,alarmed,negative
144,alarming,may alarma,negative
145,alarmingly,alarmingly,negative
146,alas,sayang,negative
147,allay,sumugpo,positive
148,allays,sumusugpo,positive
149,allegation,paninindigan,negative
150,allegations,paratang,negative
151,allegorize,allegorize,neutral
152,alliance,alyansa,neutral
153,alliances,alliances,neutral
154,allure,gayuma,positive
155,alluring,nakatutukso,positive
156,alluringly,alluringly,positive
157,allusion,parunggit,neutral
158,allusions,allusions,neutral
159,ally,kapanig,neutral
160,allies,pumanig,neutral
161,almighty,makapangyarihan,positive
162,aloof,malayo,negative
163,altogether,lahatan,neutral
164,altruist,altruista,positive
165,altruistic,altruistic,positive
166,altruistically,altruistically,positive
167,amaze,labis na magtaka,positive
168,amazes,namangha,positive
169,amazed,labis na nagtaka,positive
170,amazement,paghanga,positive
171,amazing,kagulat-gulat,negative
172,amazing,kamangha-mangha,positive
173,amazingly,amazingly,positive
174,ambiguous,hindi maliwanag,negative
175,ambiguity,kalabuan,negative
176,ambivalence,pagtitigalawa ng mga damdamin,negative
177,ambivalent,pinagtigalawa,negative
178,ameliorate,magpaunlad,positive
179,amenable,palasunod,positive
180,amiability,pagkamabait,positive
181,amiabily,amiabily,positive
182,amiable,magiliw,positive
183,amicability,pagkamabait,positive
184,amicable,mapayapa,positive
185,amicably,amicably,positive
186,amiss,mali,negative
187,amour,pag-iibigan,positive
188,amuse,magpatawa,positive
189,amuses,pinatatawa,positive
190,amused,pinatawa,positive
191,amusement,libangan,positive
192,amusing,nakakatawa,positive
193,amusingly,amusingly,positive
194,anarchism,anarchism,negative
195,anarchist,anarchist,negative
196,anarchistic,anarchistic,negative
197,anarchy,kawalan ng pamahalaan,negative
198,angelic,angheliko,positive
199,anger,galit,negative
200,angers,ginagalit,negative
201,angered,ginalit,negative
202,angrily,pagalit,negative
203,angriness,angriness,negative
204,angry,nagagalit,negative
205,anguish,dalamhati,negative
206,anguished,nagdalamhati,negative
207,annihilate,lipulin,negative
208,annihilates,linilipon,negative
209,annihated,linipon,negative
210,annihilation,paglipol,negative
211,animosity,malaking poot,negative
212,annoy,mabuwisit,negative
213,annoys,nabubuwisit,negative
214,annoyance,pagkayamot,negative
215,annoyed,nayayamot,negative
216,annoying,buwisit,negative
217,annoyingly,annoyingly,negative
218,antagonism,kagalitan,negative
219,antagonistic,magkagalit,negative
220,antagonize,lumaban,negative
221,anti,laban sa,negative
222,anti,kontra,negative
223,antipathy,pagkainis,negative
224,antiquated,lipas na,negative
225,anxieties,anxieties,negative
226,anxiety,pag-aagam-agam,negative
227,anxious,sabik,negative
228,anxiously,balisa,negative
229,anxiousness,anxiousness,negative
230,anyhow,kahit papano,neutral
231,anyway,gayon pa man,neutral
232,anyways,anyways,neutral
233,apathetic,nagwawalang-bahala,negative
234,apathetically,apathetically,negative
235,apathy,kawalang-pagpapahalaga,negative
236,ape,unggoy,negative
237,apocalypse,pahayag,negative
238,apocalyptic,apocalyptic,negative
239,apologist,tagapagtanggol,negative
240,apologists,apologists,negative
241,apostle,apostol,positive
242,apotheosis,pagpupuri,positive
243,appal,makapanlumo,negative
244,appall,makapanlumo,negative
245,appalled,appalled,negative
246,appalling,nakapanlulumo,negative
247,appallingly,katakut-takot,negative
248,appealing,sumasamo,positive
249,applaud,pumalakpak,positive
250,appreciate,pinahahalagahan,positive
251,appreciates,pinahahalagahan,positive
252,appreciated,pinahalagahan,positive
253,appreciation,pagpapahalaga,positive
254,appreciative,nagpapasalamat,positive
255,appreciatively,appreciatively,positive
256,appreciativeness,appreciativeness,positive
257,apprehension,pagkakahuli,negative
258,apprehensions,apprehensions,negative
259,apprehensive,nag-aalaala,negative
260,apprehensively,apprehensively,negative
261,arbitrary,hindi makatwiran,negative
262,arcane,arcane,negative
263,archaic,lipas na,negative
264,ardent,maalab,positive
265,ardently,masigasig,positive
266,ardor,alab,positive
267,arduous,nakapapagod,negative
268,arduously,arduously,negative
269,argue,pagtalunan,negative
270,argues,nagtatalo,negative
271,argued,nagtalo,negative
272,arguing,nagtatalo,negative
273,argumentative,mahilig sa pakikipagtalo,negative
274,arousal,pagpukaw,positive
275,arouse,pukawin,positive
276,arouses,arouses,positive
277,arousing,arousing,positive
278,arresting,sa pag-aaresto,positive
279,arrogance,pagmamataas,negative
280,arrogant,mayabang,negative
281,arrogant,yabang,negative
282,arrogant,kupal,negative
283,arrogantly,arrogantly,negative
284,articulate,sinasabi,positive
285,articulate,sinasabi,positive
286,articulated,sinabi,positive
287,ascendant,ascendant,positive
288,ascertainable,ascertainable,positive
289,ashame,nahiya,negative
290,ashamed,napapahiya,negative
291,asinine,tanga,negative
292,asininely,asininely,negative
293,asinininity,asinininity,negative
294,askance,hindi nagugustuhan,negative
295,asperse,paninirang-puri,negative
296,aspersion,paninirang-puri,negative
297,aspersions,aspersions,negative
298,aspiration,hangad,positive
299,aspirations,aspirations,positive
300,aspire,naghahangad,positive
301,aspires,naghahangad,positive
302,aspired,naghangad,positive
303,assassin,mamamatay-tao,negative
304,assent,magpahintulot,positive
305,assertions,assertions,positive
306,assess,tasahan,neutral
307,assiduous,matiyaga,positive
308,assiduously,assiduously,positive
309,assure,tiyakin,positive
310,assuredly,tiyak,positive
311,astonish,mamangha,positive
312,astonished,astonished,positive
313,astonishing,kataka-taka,positive
314,astonishingly,astonishingly,positive
315,astonishment,labis na pagtataka,positive
316,astound,magtaka,positive
317,astounded,astounded,positive
318,astounding,lubhang kataka-taka,positive
319,astoundingly,astoundingly,positive
320,astronomic,pang-astronomya,neutral
321,astronomical,pang-astronomya,neutral
322,astronomically,astronomically,neutral
323,astute,matalas,positive
324,astutely,astutely,positive
325,asunder,nalagot ang kadena,negative
326,atrocious,mabangis,negative
327,atrocities,mga kalupitan,negative
328,atrocity,bagsik,negative
329,atrophy,pagkasayang,negative
330,attentive,masigasig,positive
331,attest,magpatotoo,positive
332,attitude,saloobin,neutral
333,attract,umakit,positive
334,attracts,umaakit,positive
335,attraction,pang-akit,positive
336,attractive,kaakit-akit,positive
337,attractively,attractively,positive
338,audacious,pangahas,negative
339,audaciously,audaciously,negative
340,audaciousness,tapang,negative
341,audacity,katapangan,negative
342,auspicious,mapalad,positive
343,austere,mabagsik,negative
344,autocrat,punong may lubos na kapangyarihan,negative
345,autocratic,autokratiko,negative
346,awareness,kamalayan,neutral
347,aware,alam,neutral
348,avalanche,pagguho ng yelo,negative
349,avarice,katakawan sa pera,negative
350,avaricious,sakim,negative
351,avariciously,avariciously,negative
352,avenge,maghiganti,negative
353,aver,sabihin nang buong tiwala,positive
354,averse,tutol,negative
355,aversion,pag-ayaw,negative
356,avid,sabik,positive
357,avidly,avidly,positive
358,awe,pangingimi,positive
359,awed,hanga,positive
360,awesome,kasindak-sindak,positive
361,awesomely,awesomely,positive
362,awesomeness,awesomeness,positive
363,awestruck,awestruck,positive
364,awful,katakut-takot,negative
365,awfully,katakut-takot,negative
366,awfulness,awfulness,negative
367,awkward,nakahihiya,negative
368,awkwardness,kaasiwaan,negative
369,ax,palakol,negative
370,babble,ngumawa,negative
371,baby,sanggol,neutral
372,backbite,manirang-puri sa kapwa,negative
373,backbiting,backbiting,negative
374,backward,palubha,negative
375,backwardness,kamahinaan,negative
376,bad,masama,negative
377,badly,masama,negative
378,baffle,malas,negative
379,baffled,baffled,negative
380,bafflement,bafflement,negative
381,baffling,mahirap,negative
382,bait,pain,negative
383,balk,biglang tumigil,negative
384,banal,karaniwan,negative
385,banalize,banalize,negative
386,bane,bane,negative
387,banish,pinalalayas,negative
388,banishes,pinalalayas,negative
389,banished,pinalayas,negative
390,banishment,pagpapalayas,negative
391,barbarian,napakawalang hiya,negative
392,barbaric,barbariko,negative
393,barbarically,barbarically,negative
394,barbarity,kabangisan,negative
395,barbarous,walang kabihasnan,negative
396,barbarously,barbarously,negative
397,bargain,magkaunawaan,positive
398,barren,hindi namumunga,negative
399,baseless,walang saligan,negative
400,bashful,silong,negative
401,bastard,anak sa labas,negative
402,battle-lines,labanan-linya,negative
403,battleground,larangan ng digmaan,negative
404,batty,batty,negative
405,beast,hayop,negative
406,beastly,nang malupit,negative
407,beatify,magkaloob,positive
408,beauteous,napakarikit,positive
409,beautiful,maganda,positive
410,beautifully,maganda,positive
411,beautify,pagandahin,positive
412,beauty,kagandahan,positive
413,bedlam,panlokong bahay,negative
414,bedlamite,bedlamite,negative
415,befit,maangkop,positive
416,befitting,befitting,positive
417,befoul,magpasama,negative
418,befriend,kaibiganin,positive
419,beg,humihingi,negative
420,begs,humihingi,negative
421,begged,humingi,negative
422,beggarly,dukha,negative
423,begging,kadukhaan,negative
424,beguile,lumibang,negative
425,belabor,pumalo,negative
426,beleaguer,kumubkob,negative
427,belie,magbigay ng maling akala,negative
428,belief,paniniwala,neutral
429,believable,malamang,positive
430,believe,maniwala,neutral
431,belittles,minaliit,negative
432,belittle,maliitin,negative
433,belittled,belittled,negative
434,belittling,derogasyon,negative
435,bellicose,paladigma,negative
436,belligerence,belligerence,negative
437,belligerent,mapanlaban,negative
438,belligerently,belligerently,negative
439,beloved,minamahal,positive
440,bemoan,tumangis,negative
441,bemoaning,bemoaning,negative
442,bemused,nabaghan,negative
443,beneficent,mapagbigay,positive
444,beneficial,kapaki-pakinabang,positive
445,beneficially,beneficially,positive
446,beneficiary,benepisyaryo,positive
447,benevolence,kabaitan,positive
448,benevolent,mapagkawanggawa,positive
449,berate,basta-bastahin,negative
450,bereave,maulila,negative
451,bereavement,pangungulila,negative
452,bereft,nawalan,negative
453,berserk,nagngangalit,negative
454,beseech,magmakaamo,negative
455,besides,bukod sa,neutral
456,besmirch,manira,negative
457,best,pinakamagaling,positive
458,best-known,pinakamahusay na-kilala,positive
459,best-performing,pinakamahusay gumanap,positive
460,bestial,makahayop,negative
461,betray,ipagkanulo,negative
462,betrays,betrays,negative
463,betrayed,betrayed,negative
464,betrayal,pagkakanulo,negative
465,betrayals,betrayals,negative
466,betrayer,taksil,negative
467,better,mas mabuti,positive
468,better-known,mas mahusay na-kilala,positive
469,better-than-expected,mas mahusay na-kaysa-inaasahang,positive
470,bewail,tumangis,negative
471,bewilder,malito,negative
472,bewildered,bewildered,negative
473,bewildering,bewildering,negative
474,bewilderingly,bewilderingly,negative
475,bewilderment,kalituhan,negative
476,bewitch,gumayuma,negative
477,bias,pagkiling,negative
478,biased,makiling,negative
479,biases,biases,negative
480,bicker,magtaltalan,negative
481,bickering,bickering,negative
482,bitch,asong babae,negative
483,bitchy,bitchy,negative
484,biting,masakit,negative
485,bitingly,bitingly,negative
486,bitter,mapait,negative
487,bitterly,nang masakit,negative
488,bitterness,kapaitan,negative
489,bizarre,kakaiba,negative
490,blab,magsitsit,negative
491,blabber,blabber,negative
492,blah,kalokohan,negative
493,blame,magbigay-sala,negative
494,blames,sinisisi,negative
495,blamed,sinisi,negative
496,blameless,hindi dapat managot,positive
497,blameworthy,dapat sisihin,negative
498,bland,mura,negative
499,blandish,magsumamo,negative
500,blaspheme,lumapastangan sa diyos,negative
501,blasphemous,lapastangan sa diyos,negative
502,blasphemy,kalapastangan sa diyos,negative
503,blasted,blasted,negative
504,blatant,maingay,negative
505,blatantly,blatantly,negative
506,blather,magdaldal ng kalokohan,negative
507,bleak,malungkot,negative
508,bleakly,bleakly,negative
509,bleakness,lamig,negative
510,bless,magpala,positive
511,blessed,pinagpala,positive
512,blessing,mabuting kapalaran,positive
513,blinding,pagbulag,negative
514,blindingly,blindingly,negative
515,blindside,blindside,negative
516,bliss,sobrang saya,positive
517,blissful,napakasaya,positive
518,blissfully,blissfully,positive
519,blister,paltos,negative
520,blistering,blistering,negative
521,blithe,maligaya,positive
522,bloated,tinapa,negative
523,blockhead,ulol,negative
524,bloodshed,pagdanak ng dugo,negative
525,bloodthirsty,uhaw sa dugo,negative
526,blunder,malaking pagkakamali,negative
527,blundering,mali,negative
528,blunders,blunders,negative
529,blunt,tapatang magsalita,negative
530,blurt,blurt,negative
531,boast,magyabang,negative
532,boasts,pinagyayabang,negative
533,boasted,nagyabang,negative
534,boastful,mayabang,negative
535,boggle,matakot,negative
536,bogus,bogus,negative
537,boil,maglaga,neutral
538,boiling,bulak,negative
539,boisterous,maingay,negative
540,bold,matapang,positive
541,boldly,matapang,positive
542,boldness,katapangan,positive
543,bolster,magbolster,positive
544,bombardment,panganganyon,negative
545,bombastic,mayabang,negative
546,bondage,pagkaalipin,negative
547,bonkers,bonkers,negative
548,bonny,maganda,positive
549,bore,nakayayamot na tao,negative
550,bores,nakakatamad,negative
551,bored,timamad,negative
552,boredom,hinawa,negative
553,boring,mayamot,negative
554,botch,sumira ng trabaho,negative
555,bother,mag-abala,negative
556,bothers,nag-aabala,negative
557,bothered,nag-abala,negative
558,bothersome,nakaaabala,negative
559,boundless,walang hanggan,positive
560,bountiful,sagana,positive
561,bowdlerize,bowdlerize,negative
562,brag,magmayabang,negative
563,brags,nagyayabaang,negative
564,bragged,nagyabang,negative
565,braggart,mayabang,negative
566,bragger,bragger,negative
567,brains,talino,positive
568,brainwash,magpropaganda,negative
569,brainy,matalino,positive
570,brash,mga labi,negative
571,brashly,brashly,negative
572,brashness,brashness,negative
573,brat,pilyong bata,negative
574,bravado,pagtatapang-tapangan,negative
575,brave,malakas ang loob,positive
576,braves,lakas loob,positive
577,braved,tinapangan,positive
578,bravery,kagitingan,positive
579,brazen,walang hiya,negative
580,brazenly,brazenly,negative
581,brazenness,brazenness,negative
582,break-point,masira-point,negative
583,breathlessness,breathlessness,positive
584,breathtaking,kapansin-pansin,positive
585,breathtakingly,breathtakingly,positive
586,brilliant,makinang,positive
587,brilliantly,brilliantly,positive
588,brimstone,asupre,negative
589,bristle,mangalisag,negative
590,bristles,bristles,negative
591,broken-hearted,nawasak ang puso,negative
592,brood,malungkot na pakaisipin,negative
593,brook,ilug-ilugan,positive
594,browbeat,tumakot,negative
595,brusque,bastos,negative
596,brutal,brutal,negative
597,brutalising,brutalizing,negative
598,brutalities,brutalities,negative
599,brutality,lupit,negative
600,brutalize,brutalize,negative
601,brutalizing,brutalizing,negative
602,brutally,brutally,negative
603,brute,taong ganid,negative
604,brutish,malupit,negative
605,bullied,inapi,negative
606,bullies,bullies,negative
607,bully,nang-aapi,negative
608,bully,mapang-api,negative
609,bullyingly,bullyingly,negative
610,bungle,gumawa nang paloko,negative
611,bungler,manggagawang hindi bihasa,negative
612,burden,imposisyon,negative
613,burdensome,madaling makapagod,negative
614,burdensomely,burdensomely,negative
615,burn,sumunog,negative
616,busybody,mapanghimasok,negative
617,butchery,pagpatayan,negative
618,bwahaha,bwahaha,negative
619,byzantine,Byzantine,negative
620,cackle,putak,negative
621,cajole,mang-akit,negative
622,calamities,calamities,negative
623,calamitous,mapanganib,negative
624,calamitously,calamitously,negative
625,calamity,matinding kapighatian,negative
626,callous,hindi marunong maawa,negative
627,calming,pagpapatahimik,positive
628,calumniate,manira sa kapwa,negative
629,calumniation,pagsinungaling,negative
630,calumnies,calumnies,negative
631,calumnious,sinunggalinggan,negative
632,calumniously,calumniously,negative
633,calumny,pagsisinungaling laban sa puri ng kapwa,negative
634,candid,matapat,positive
635,candor,katapatan sa pagsasalita,positive
636,cannibal,hayop na kumakain ng kapwa hayop,negative
637,cannibalize,cannibalize,negative
638,capricious,paiba-iba,negative
639,capriciously,capriciously,negative
640,capriciousness,capriciousness,negative
641,captivate,makabihag,positive
642,captivating,mapang-akit,positive
643,captivation,captivation,positive
644,carefree,walang inaalaala,positive
645,careless,hindi isinasaloob ang ginagawa,negative
646,carelessness,kawalang-isip,negative
647,caricature,karikatura,negative
648,carnage,pagpatay,negative
649,carp,pamumula,negative
650,cartoonish,cartoonish,negative
651,castigate,magsalita nang masakit,negative
652,cataclysm,kataklismo,negative
653,cataclysmal,cataclysmal,negative
654,cataclysmic,cataclysmic,negative
655,cataclysmically,cataclysmically,negative
656,catalyst,katalista,positive
657,catastrophe,malaking kapahamakan,negative
658,catastrophes,catastrophes,negative
659,catastrophic,sakuna,negative
660,catastrophically,catastrophically,negative
661,catchy,nakatataranta,positive
662,caustic,mapang-uyam,negative
663,caustically,caustically,negative
664,cautionary,cautionary,negative
665,celebrate,ipagdiwang,positive
666,celebrates,nagdiriwang,positive
667,celebrated,bantog,positive
668,celebration,pagdiriwang,positive
669,celebratory,celebratory,positive
670,censure,bigyang-sala,negative
671,censures,censures,negative
672,censured,censured,negative
673,certainly,tiyak,neutral
674,chafe,magkagasgas,negative
675,chaff,ipa,negative
676,chagrin,kahihiyan,negative
677,chaos,ganap na kaguluhan,negative
678,chaotic,may gulo,negative
679,charisma,charisma,negative
680,charismatic,charismatic,positive
681,charm,bighani,positive
682,charms,binighani,positive
683,charmed,nabighani,positive
684,charming,kaakit-akit,positive
685,charmingly,charmingly,positive
686,chaste,dalaga,positive
687,chasten,magparusa,negative
688,chastise,pumalo,negative
689,chastisement,parusa,negative
690,chatter,magsasatsat,negative
691,chatterbox,daldalera,negative
692,cheapen,pababain ang pagkatao o sarili,negative
693,cheap,mura,negative
694,cheat,manlilinlang,negative
695,cheat,daya,negative
696,cheats,nanloloko,negative
697,cheats,mandaraya,negative
698,cheater,nanloloko,negative
699,cheated,nandaya,negative
700,cheer,masayang sigaw,positive
701,cheery,masigla,positive
702,cheerful,galak na galak,positive
703,cheerless,walang saya,negative
704,cherish,mahalin,positive
705,cherishes,minamahal,positive
706,cherished,itinatangi,positive
707,cherub,magandang bata,positive
708,chic,makisig,positive
709,chide,magmura,negative
710,chides,minura,negative
711,childish,parang bata,negative
712,chit,maikling sulat,negative
713,chivalry,kagalantihan,positive
714,chivalrous,marangal,positive
715,civility,pagkamagalang,positive
716,clear-cut,litaw na litaw,positive
717,clears,nililinaw,neutral
718,cleared,nilinaw,neutral
719,clearer,mas malinaw,positive
720,clearly,maliwanag,positive
721,clever,matalino,positive
722,cliche,klisey,negative
723,cliched,cliched,negative
724,closeness,pagkakalapit,positive
725,cloud,ulap,negative
726,clout,humampas,positive
727,clumsy,pangit ang yari ng bangkang iyon,negative
728,coax,isamo,positive
729,cocky,bastos,negative
730,coerce,puwersahin,negative
731,coercion,pagpipigil,negative
732,coercive,pumipilit,negative
733,cogent,kapani-paniwala,positive
734,cogitate,pag-isipin,neutral
735,cognizant,nababatid,neutral
736,coherence,pagkakaugnay-ugnay,positive
737,coldly,nang walang bahala,negative
738,collude,collude,negative
739,collusion,sapakatan,negative
740,comely,maganda,positive
741,comforting,umaaliw,positive
742,commend,purihin,positive
743,commendable,kapuri-puri,positive
744,commendably,commendably,positive
745,commiserate,makiramay,negative
746,commotion,iskandalo,negative
747,compassion,pakikiramay,positive
748,compassionate,mahabagin,positive
749,compel,pilitin,negative
750,compelling,makabagbag-damdamin,positive
751,compensate,bumayad,positive
752,complacent,may kasiyahan,negative
753,complain,magreklamo,negative
754,complains,nagrereklamo,negative
755,complaining,nagrereklamong,negative
756,complaint,reklamo,negative
757,complaints,mga reklamo,negative
758,complement,ganap na bilang,positive
759,compliant,sang-ayon,positive
760,complicit,complicit,negative
761,compliment,papuri,positive
762,compliments,pinupuri,positive
763,complimentary,kaloob,positive
764,comprehend,intindihin,neutral
765,compulsion,pamimilit,negative
766,compulsive,mapilit,negative
767,comrades,comrades,positive
768,concede,umamin,positive
769,concedes,umaamin,positive
770,conceded,umamin,positive
771,conceit,pagpapahalaga sa sarili,negative
772,conceited,mapagpahalaga sa sarili,negative
773,conceivable,nalilikhang isip,positive
774,concern,pag-aalala,negative
775,concerns,problema,negative
776,concerned,nag-aalala,negative
777,concerns,alalahanin,negative
778,conciliate,palubagin ang loob,positive
779,conciliatory,pampalubag-loob,positive
780,concur,pagkaisahan,positive
781,condescend,magpakababa,negative
782,condescending,condescending,negative
783,condescendingly,condescendingly,negative
784,condescension,paglait,negative
785,condemn,isumpa,negative
786,condemns,sinusumpa,negative
787,condemned,sinumpa,negative
788,condemnable,condemnable,negative
789,condemnation,pagbabawal sa paggamit,negative
790,condolence,pakikiramay,negative
791,condolences,condolences,negative
792,condone,palampasin,positive
793,confess,tanggapin ang kasalanan,negative
794,confesses,confesses,negative
795,confession,pag-amin,negative
796,confessions,confessions,negative
797,confide,magtiwala,neutral
798,confidence,pagtitiwala,positive
799,confident,nagtitiwala,positive
800,confrontation,paghaharap,negative
801,confuse,makalito,negative
802,confused,nalilito,negative
803,confusing,nakalilito,negative
804,confusion,pagkalito,negative
805,confute,pasinungalingan,positive
806,congenial,kasundo,positive
807,congratulate,bumati,positive
808,congratulates,bumabati,positive
809,congratulations,pagbati,positive
810,congratulatory,bumabati,positive
811,conjecture,paghahaka-haka,neutral
812,conscientious,matapat,positive
813,consensus,pinagkaisahan,positive
814,consent,pagsang-ayon,positive
815,consents,sumang-ayon,positive
816,consequently,dahil dito,neutral
817,consider,isaalang-alang,neutral
818,considerable,hindi kakaunti,neutral
819,considerably,lubha,neutral
820,considerate,maalalahanin,positive
821,conspicuous,hayag,negative
822,conspicuously,conspicuously,negative
823,conspirator,kasabwat,negative
824,conspiratorial,masabwat,negative
825,conspire,magtulung-tulong,negative
826,constancy,tiyaga,positive
827,consternation,panghihilakbot,negative
828,consummate,malubos,positive
829,contemplate,magnilay-nilay,neutral
830,contempt,pag-upasala,negative
831,contemptible,napakahamak,negative
832,contemptuous,mapanlait,negative
833,contemptuously,palait,negative
834,contend,makipaglaban,negative
835,content,nilalaman,positive
836,contention,pagtatalo,negative
837,contentment,kaligayahan,positive
838,contentious,palakontra,negative
839,contort,mapangiwi,negative
840,contortions,contortions,negative
841,contradict,magkasalungatan,negative
842,contradiction,pagkakasalungatan,negative
843,contradictory,nagkakasalungatan,negative
844,contrariness,katigasan ng ulo,negative
845,contrary,kasalungat,negative
846,contravene,labagin,negative
847,contrive,balakin,negative
848,contrived,contrived,negative
849,convenient,maginhawa,positive
850,conveniently,Maginhawang,positive
851,convincing,kapani-paniwala,positive
852,convincingly,convincingly,positive
853,convoluted,convoluted,negative
854,cornerstone,pundasyon,positive
855,correctly,wasto,positive
856,corrupt,sira,negative
857,corruption,katiwalian,negative
858,counterproductive,counterproductive,negative
859,coupists,coupists,negative
860,courage,tapang,positive
861,courageous,malakas ang loob,positive
862,courageously,courageously,positive
863,courageousness,courageousness,positive
864,court,hukuman,positive
865,courteous,magalang,positive
866,courtesy,kagandahang-loob,positive
867,courtly,magalang,positive
868,covet,mag-imbot,both
869,coveting,coveting,both
870,covetingly,covetingly,both
871,covetous,mapag-imbot,negative
872,covetously,covetously,both
873,coward,bahag ang buntot,negative
874,cowardly,duwag,negative
875,cozy,maaliwalas,positive
876,crafty,manlilinlang,negative
877,cranky,mainit ang ulo,negative
878,crass,puno,negative
879,crave,manabik nang labis,positive
880,craven,craven,negative
881,cravenly,cravenly,negative
882,craving,labis na pananabik,positive
883,craze,pagkahumaling,negative
884,crazily,crazily,negative
885,craziness,hibang,negative
886,crazy,basag ang pula,negative
887,creative,malikhain,positive
888,credence,paniniwala,positive
889,credible,kapani-paniwala,positive
890,credulous,madaling malinlang,negative
891,cringe,sumukot,negative
892,cripple,sumalanta,negative
893,crippling,kapilayan,negative
894,critic,kritiko,negative
895,critical,mapanganib,negative
896,criticism,panunuring pampanitikan,negative
897,criticisms,criticisms,negative
898,criticize,pumuna,negative
899,critics,kritiko,negative
900,crook,masamang-loob,negative
901,crooked,hindi tapat,negative
902,cross,tumawid,negative
903,cruel,malupit,negative
904,cruelties,cruelties,negative
905,cruelty,kalupitan,negative
